COACHELLA_SENTIMENT,COACHELLA_YN,NAME,RETWEET_COUNT,TEXT,TWEET_COORD,TWEET_CREATED,TWEET_ID,TWEET_LOCATION,USER_TIMEZONE
positive,yes,kokombil,0,#Coachella2015 tickets selling out in less than 40 minutes _Ÿ_¶_Ÿ___Ÿ___Ÿ˜ù_ŸŒµ_ŸŒµ_Ÿ___Ÿ_¶ http://t.co/SmoXyteIMJ,"[0.0, 0.0]",2015-01-07 15:02:00,5529630000000000,,Quito
positive,yes,MisssTaraaa10,2,RT @sudsybuddy: WAIT THIS IS ABSOLUTE FIRE _Ÿ”¥_Ÿ”¥_Ÿ”¥ #Coachella2015 http://t.co/Ov2eCJtAvR,,2015-01-07 15:02:00,5529630000000000,united states,
positive,yes,NMcCracken805,0,#Coachella2015 #VIP passes secured! See you there bitchesssss,,2015-01-07 15:01:00,5529630000000000,"Costa Mesa, CA",
positive,yes,wxpnfm,1,Phillyâ€™s @warondrugsjams will play #Coachella2015 &amp; #GovBall2015! Watch them on Jimmy Fallon: http://t.co/wzaAE5wYNT http://t.co/sFL9I5sD20,,2015-01-07 15:01:00,5529630000000000,"Philadelphia, PA and Worldwide",Quito
positive,yes,Caesears,0,If briana and her mom out to #Coachella2015  im out with them !!! _Ÿ˜›_Ÿ˜›_Ÿ˜›_Ÿ’ƒ,,2015-01-07 15:00:00,5529630000000000,,
positive,yes,donbosco_6,0,West side is the best side! #west #coas #Coachella2015 http://t.co/BhasNazMMU,,2015-01-07 14:58:00,5529630000000000,Cuenca Ecuador,Eastern Time (US & Canada)
positive,yes,__Mia630_,0,Coachella tickets are now sold out _Ÿ˜_ &amp; I had the opportunity to have bought them. I'm definitely going next year #Coachella2015 #Coachella,,2015-01-07 14:58:00,5529630000000000,CA. USA,Pacific Time (US & Canada)
positive,yes,OlgaKhmylev,0,#Coachella2015 I absolutely can NOT wait. This weekend is about to exceed EPIC EXPECTATIONS!!! :) Lineup is CRAZY!  http://t.co/7CQXKCprLH,,2015-01-07 14:57:00,5529620000000000,Buffalo//Moscow//Boston ,Eastern Time (US & Canada)
positive,yes,Ben_BigB_Davies,0,If someone got me to Coachella if be your friend for life #truth #desprate #Coachella2015 #Coachella http://t.co/MMDkTMOZfW,,2015-01-07 14:54:00,5529620000000000,The mighty bridgend !,
positive,yes,brevamo,83,RT @brownjenjen: â†’ http://t.co/mxCREvIlGP 712 Coachella 2015  Coachella 2015 makes space for rockers and ravers this year #Coachella2015 Ohâ€_,,2015-01-07 14:50:00,5529610000000000,Utah,Pacific Time (US & Canada)
positive,yes,samhughes88,2,RT @RogerCraigSmith: Dig these guys much! Can't wait to see them at #Coachella2015!Two dudes creating incredible sounds.,,2015-01-07 14:50:00,5529600000000000,"Cheshire, UK ",London
positive,yes,kathy009,0,"â€œ@NickDevLV: Officially official. #Coachella2015 http://t.co/cWBx8jb2n7â€ù Please someone get me to Coachella this year, so wanna go",,2015-01-07 14:48:00,5529600000000000,England,
positive,yes,McBased,0,See you there! #Coachella2015 @IDK_Chillin @gina__elizabeth @#TwiterlessNikki,,2015-01-07 14:47:00,5529600000000000,HTX-CCTX,Eastern Time (US & Canada)
positive,yes,TheExperiencexX,0,Son im really trynna go to #Coachella2015,,2015-01-07 14:41:00,5529580000000000,,Pacific Time (US & Canada)
positive,yes,lindsayjfig,0,I just want to go to #Coachella2015 _Ÿ˜«_Ÿ_¡,,2015-01-07 14:35:00,5529570000000000,,Mountain Time (US & Canada)
positive,yes,carleystenson,1,So we got tickets to #Coachella2015 x what is it!? _Ÿ˜ù_Ÿ˜†_Ÿ_¶_Ÿ___Ÿ_·_Ÿ_º_Ÿ_¸_Ÿ___Ÿ_µ,,2015-01-07 14:34:00,5529560000000000,,
positive,yes,KROCSTEDY,0,Can't wait until #Coachella this year. This will be my first time ever goin. Chyyeah!!! #Coachella2015 _Ÿ™Œ,,2015-01-07 14:30:00,5529550000000000,"From Long Beach, CA & beyond..",Alaska
positive,yes,edasemana,0,Just bought my #Coachella2015 tickets with @aylephant and Minh Do! I could already tell that 2015 is gonna be amazing!,"[37.4365235, -121.8783382]",2015-01-07 14:30:00,5529550000000000,California ,
positive,yes,happiiiiiiiii,1,"RT @EricHoang_: Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,2015-01-07 14:30:00,5529550000000000,,
positive,yes,fucknambriz,0,April can't come any sooner _Ÿ˜__Ÿ˜__Ÿ˜_ ,"[33.83198733, -117.95680471]",2015-01-07 14:29:00,5529550000000000,Anaheim CA,Pacific Time (US & Canada)
positive,yes,LuisaInStereo,0,Woot woot! #Coachella2015 _Ÿ_‰_Ÿ_‰,,2015-01-07 14:28:00,5529550000000000,,Pacific Time (US & Canada)
positive,yes,GregWRoss,0,"#coachella2015  What's the fuss about AC/DC heading the line-up? Leonard Cohen blew everyone away there a couple of years back, both great!",,2015-01-07 14:26:00,5529550000000000,Burswood,Perth
positive,yes,Hey_Julee,1,RT @TeamCamillaB: Hope to see @CamillaBelle in Coachella #Coachella2015!,,2015-01-07 14:26:00,5529540000000000,,Central Time (US & Canada)
positive,yes,rgrocks,0,Prayer to #Coachella gods for #Coachella2015 #Coachellatickets someone sell me weekend 1 for face value please. Car camping too! Amen,,2015-01-07 14:25:00,5529540000000000,San Francisco,Pacific Time (US & Canada)
positive,yes,_SydArmstrong,0,I see @nlapi is ready for #Coachella2015 #coachellaNICK,,2015-01-07 14:23:00,5529540000000000,Los Angeles,Central Time (US & Canada)
positive,yes,pascalpellan,0,Young DroCHELLA | #Coachella #Coachella2015 http://t.co/X0tIMlrjSH,,2015-01-07 14:22:00,5529530000000000,Paris,Paris
positive,yes,Wajohnston3Will,0,Got my tickets for #Coachella2015 stoked as fuck,,2015-01-07 14:21:00,5529530000000000,,
positive,yes,shermhasheart,0,"I can't wait for ""and you shook me all night long"" at #Coachella2015",,2015-01-07 14:18:00,5529520000000000,Bloomington,Quito
positive,yes,mickeyditch,0,So HAPPY to announce that me and @NicolaBott have twins!!!! (tickets) #Coachella2015 http://t.co/83miyTqiff,"[-33.87105558, 151.20334792]",2015-01-07 14:17:00,5529520000000000,Sydney,London
positive,yes,JahhKobe,0,Super pumped for ACDC and Steely Dan #kickinitoldschoool #Coachella2015,,2015-01-07 14:16:00,5529520000000000,"Ashland, Oregon",Pacific Time (US & Canada)
positive,yes,mebullard1,0,Just got news we're going to #Coachella2015,,2015-01-07 14:16:00,5529520000000000,,
positive,yes,_caitbate_,0,LOL NVM YA BISH IS GOING TO #COACHELLA2015 #HALLELUJAH!!! http://t.co/kcLTkfhiiN,,2015-01-07 14:14:00,5529510000000000,New York City,Eastern Time (US & Canada)
